id,prediction_raw,prediction_pretty
EX-0007,"{
""도시 공원 관리의 장점은 공원 이용객의 만족도를 높이고 환경보호 및 소통 채널로 활용할 수 있습니다. 과제는 공원 이용객의 요구 사항을 파악하고 관리 방안을 개선해야 합니다."":
""1. 만족도 향상 2. 환경보호 3. 소통 채널""
}","{
  ""도시 공원 관리의 장점은 공원 이용객의 만족도를 높이고 환경보호 및 소통 채널로 활용할 수 있습니다. 과제는 공원 이용객의 요구 사항을 파악하고 관리 방안을 개선해야 합니다."": ""1. 만족도 향상 2. 환경보호 3. 소통 채널""
}"
EX-0001,"{
""title"": ""도시 공원 관리의 장점과 과제"",
""tags"": [""도시 공원"", ""관리"", ""장점"", ""과제""]
}","{
  ""title"": ""도시 공원 관리의 장점과 과제"",
  ""tags"": [
    ""도시 공원"",
    ""관리"",
    ""장점"",
    ""과제""
  ]
}"
EX-0025,"{
""도시 공원 관리의 장점은 효율적인 공원 운영과 이용객 만족도 증가에 도움이 되고, 과제는 공원 환경 개선과 이용객 참여 프로그램 개발이 필요합니다."":1
}","{
  ""도시 공원 관리의 장점은 효율적인 공원 운영과 이용객 만족도 증가에 도움이 되고, 과제는 공원 환경 개선과 이용객 참여 프로그램 개발이 필요합니다."": 1
}"
EX-0017,"{""translate"": ""형성평가와 학습동기""}","{
  ""translate"": ""형성평가와 학습동기""
}"
EX-0023,"{
""title"": ""형성평가의 학습 동기 강화"",
""tags"": [""학습동기"", ""형성평가"", ""강화""]
}","{
  ""title"": ""형성평가의 학습 동기 강화"",
  ""tags"": [
    ""학습동기"",
    ""형성평가"",
    ""강화""
  ]
}"
EX-0035,"{""translated"": ""학업 평가 및 학습 동기""}","{
  ""translated"": ""학업 평가 및 학습 동기""
}"
EX-0051,"{
 ""클라우드 컴퓨팅은 데이터와 응용 프로그램을 제공자의 서버에 저장하고 관리하는 반면, 엣지 컴퓨팅은 작업을 처리하고 데이터를 분석하는 처리 장치를 네트워크의 가장 외곽 영역에 배치합니다."":
""단, 클라우드는 중앙 집중 관리가 가능하지만, 엣지는 네트워크 지연이 발생할 수 있습니다.""
}","{
  ""클라우드 컴퓨팅은 데이터와 응용 프로그램을 제공자의 서버에 저장하고 관리하는 반면, 엣지 컴퓨팅은 작업을 처리하고 데이터를 분석하는 처리 장치를 네트워크의 가장 외곽 영역에 배치합니다."": ""단, 클라우드는 중앙 집중 관리가 가능하지만, 엣지는 네트워크 지연이 발생할 수 있습니다.""
}"
EX-0021,"{
""title"": ""클라우드와 엣지 컴퓨팅의 차이"",
""tags"": [1, 2, 3]
}","{
  ""title"": ""클라우드와 엣지 컴퓨팅의 차이"",
  ""tags"": [
    1,
    2,
    3
  ]
}"
EX-0060,"{"" Herd immunity effects of vaccination"": ""접종으로 인한 이끄심 효과""}","{
  "" Herd immunity effects of vaccination"": ""접종으로 인한 이끄심 효과""
}"
EX-0046,"{
  "" - Predictable growth over time.\n"":"", ""","{ \n   "" - Predictable growth over time.\n"":"", """
EX-0010,"{
  "" - Predictable growth over time.\n"":
  "" - Exponential accumulation of interest.\n""
  }","{
  "" - Predictable growth over time.\n"": "" - Exponential accumulation of interest.\n""
}"
EX-0034,"{""Long-term investment effects of bowel interest."": ""Long-term effects of bowel interest.""}","{
  ""Long-term investment effects of bowel interest."": ""Long-term effects of bowel interest.""
}"
EX-0054,"{ ""The social impact of public transport fare increases."": ""The social impact of public transport fare increases."" }","{
  ""The social impact of public transport fare increases."": ""The social impact of public transport fare increases.""
}"
EX-0036,"{ ""The impact of public transport fare increases on society."": ""The impact of public transport fare increases on society."" }","{
  ""The impact of public transport fare increases on society."": ""The impact of public transport fare increases on society.""
}"
EX-0018,"{""The social impact of public transport fare increases."": ""The social impact of public transport fare increases.""}","{
  ""The social impact of public transport fare increases."": ""The social impact of public transport fare increases.""
}"
EX-0058,"{
 ""title"": ""Long-term impact of compound interest"",
 ""tags"": [1, 2, 3]
}","{
  ""title"": ""Long-term impact of compound interest"",
  ""tags"": [
    1,
    2,
    3
  ]
}"
EX-0022,"{
 ""title"": ""Long-term impact of compound interest"",
 ""tags"": [
  1,
  2,
  3
 ]
}","{
  ""title"": ""Long-term impact of compound interest"",
  ""tags"": [
    1,
    2,
    3
  ]
}"
EX-0040,"{
 ""title"": ""Long-term impact of compound interest"",
 ""tags"": [1, 2, 3]
}","{
  ""title"": ""Long-term impact of compound interest"",
  ""tags"": [
    1,
    2,
    3
  ]
}"
EX-0056,"{
 ""title"": ""Herd Immunity Effects of Vaccination"",
 ""tags"": [
  ""Epidemiology"",
  ""Immunology"",
  ""Vaccination"",
  ""Disease prevention""
 ]
}","{
  ""title"": ""Herd Immunity Effects of Vaccination"",
  ""tags"": [
    ""Epidemiology"",
    ""Immunology"",
    ""Vaccination"",
    ""Disease prevention""
  ]
}"
EX-0038,"{
 ""title"": ""Herd Immunity Effects of Vaccination"",
 ""tags"": [
  ""Vaccination"",
  ""Herd Immunity"",
  ""Epidemiology""
 ]
}","{
  ""title"": ""Herd Immunity Effects of Vaccination"",
  ""tags"": [
    ""Vaccination"",
    ""Herd Immunity"",
    ""Epidemiology""
  ]
}"
EX-0002,"{
 ""title"": ""Herd Immunity Effects of Vaccination"",
 ""tags"": [
  1,
  2,
  3,
  4
 ]
}","{
  ""title"": ""Herd Immunity Effects of Vaccination"",
  ""tags"": [
    1,
    2,
    3,
    4
  ]
}"
EX-0042,"{
 ""title"": ""Social Impact of Public Transit Fare Increases"",
 ""tags"": [
  1, 2, 3, 4
 ]
}","{
  ""title"": ""Social Impact of Public Transit Fare Increases"",
  ""tags"": [
    1,
    2,
    3,
    4
  ]
}"
EX-0024,"{
 ""title"": ""Social Impact of Public Transit Fare Increases"",
 ""tags"": [1, 2, 3, 4]
}","{
  ""title"": ""Social Impact of Public Transit Fare Increases"",
  ""tags"": [
    1,
    2,
    3,
    4
  ]
}"
EX-0006,"{
  ""title"": ""Social Impact of Public Transit Fare Increases"",
  ""tags"": [
    ""Public Transit"",
    ""Fare Increases"",
    ""Social Impact""
  ]
}","{
  ""title"": ""Social Impact of Public Transit Fare Increases"",
  ""tags"": [
    ""Public Transit"",
    ""Fare Increases"",
    ""Social Impact""
  ]
}"
EX-0043,"{
""도시 공원 관리의 장점과 과제는 도시민의 건강과 환경 개선에 도움이 되고, 동시에 공원 관리의 전문성과 계획 수립이 중요합니다."":
1.1
}","{
  ""도시 공원 관리의 장점과 과제는 도시민의 건강과 환경 개선에 도움이 되고, 동시에 공원 관리의 전문성과 계획 수립이 중요합니다."": 1.1
}"
EX-0019,"{
""title"": ""도시 공원 관리의 장점과 과제"",
""tags"": [
1, 2, 3, 4, 5
]
}","{
  ""title"": ""도시 공원 관리의 장점과 과제"",
  ""tags"": [
    1,
    2,
    3,
    4,
    5
  ]
}"
EX-0029,"{
  ""핵심"": [
    ""형성평가를 통해 학습 목표 달성도 확인."",
    ""부족한 부분에 집중하여 학습 개선."",
    ""동기 유발 및 지속적인 학습을 유도.""
  ]
}","{
  ""핵심"": [
    ""형성평가를 통해 학습 목표 달성도 확인."",
    ""부족한 부분에 집중하여 학습 개선."",
    ""동기 유발 및 지속적인 학습을 유도.""
  ]
}"
EX-0059,"{
  ""title"": ""형성평가의 학습 동기 강화"",
  ""tags"": [""형성평가"", ""학습동기"", ""강화""]
}","{
  ""title"": ""형성평가의 학습 동기 강화"",
  ""tags"": [
    ""형성평가"",
    ""학습동기"",
    ""강화""
  ]
}"
EX-0045,"{""answer"": ""클라우드는 중앙 서버에서 모든 작업을 처리하고 사용자 인터페이스를 제공하고, 엣지 컴퓨팅은 데이터 처리 및 분석을 네트워크 근처에 위치하여 처리합니다.""}","{
  ""answer"": ""클라우드는 중앙 서버에서 모든 작업을 처리하고 사용자 인터페이스를 제공하고, 엣지 컴퓨팅은 데이터 처리 및 분석을 네트워크 근처에 위치하여 처리합니다.""
}"
EX-0033,"{
 ""차이점은 클라우드는 중앙 서버에서 모든 작업을 처리하고, 엣지 컴퓨팅은 데이터 처리를 네트워크 가장자리에 위치하여 처리한다."":
""클라우드와 엣지 컴퓨팅의 차이는 처리 위치에 있다.""
}","{
  ""차이점은 클라우드는 중앙 서버에서 모든 작업을 처리하고, 엣지 컴퓨팅은 데이터 처리를 네트워크 가장자리에 위치하여 처리한다."": ""클라우드와 엣지 컴퓨팅의 차이는 처리 위치에 있다.""
}"
EX-0013,"{
""도시 공원 관리는 효율적인 공원 운영을 위해 장점적으로 공원 이용객 관리, 설계 변경, 환경 보호를 제공하지만, 과제로는 예산 제약, 이용객 참여 부족, 그리고 관리 시스템 개선이 필요합니다."":1
}","{
  ""도시 공원 관리는 효율적인 공원 운영을 위해 장점적으로 공원 이용객 관리, 설계 변경, 환경 보호를 제공하지만, 과제로는 예산 제약, 이용객 참여 부족, 그리고 관리 시스템 개선이 필요합니다."": 1
}"
