id,mode,scenario,passed,reason
1,general,format-json,1,ok
1,instructed,format-json,1,ok
2,general,limit-words,1,words=6 <= 10
2,instructed,limit-words,1,words=8 <= 10
3,general,format-json,1,ok
3,instructed,format-json,1,ok
4,general,forbid-terms,1,no_digits_found
4,instructed,forbid-terms,1,no_digits_found
5,general,format-json,1,ok
5,instructed,format-json,1,ok
6,general,limit-words,1,words=10 <= 12
6,instructed,limit-words,1,words=10 <= 12
7,general,format-json,1,ok
7,instructed,format-json,1,ok
8,general,forbid-terms,1,no_digits_found
8,instructed,forbid-terms,1,no_digits_found
